symbol	organism	longevity_influence	redacted_description
PFA5	Saccharomyces cerevisiae	Necessary for fitness	palmitoyltransferase PFA5. palmitoyltransferase activity. protein-cysteine S-palmitoyltransferase activity. zinc ion binding.
KSS1	Saccharomyces cerevisiae	Necessary for fitness	mitogen-activated serine/threonine-protein kinase KSS1. ATP binding. MAP kinase activity. protein binding. protein kinase activity. protein serine kinase activity. protein serine/threonine kinase activity.
UBP8	Saccharomyces cerevisiae	Necessary for fitness	ubiquitin-specific protease UBP8. cysteine-type deubiquitinase activity. molecular adaptor activity. protein binding. zinc ion binding.
tkt-1	Caenorhabditis elegans	Anti-Longevity	transketolase. thiamine pyrophosphate binding. transketolase activity.
qars-1	Caenorhabditis elegans	Anti-Longevity	glutamine--tRNA ligase;putative glutamine--tRNA ligase. ATP binding. aminoacyl-tRNA ligase activity. glutamine-tRNA ligase activity. nucleotide binding.
RPL29	Saccharomyces cerevisiae	Anti-Longevity	60S ribosomal protein eL29 RPL29. structural constituent of ribosome.
mboa-1	Caenorhabditis elegans	Pro-Longevity	O-acyltransferase. O-acyltransferase activity. cholesterol O-acyltransferase activity. sterol O-acyltransferase activity.
ALD6	Saccharomyces cerevisiae	Anti-Longevity	aldehyde dehydrogenase (NADP(+)) ALD6. acetaldehyde dehydrogenase (NADP+) activity. aldehyde dehydrogenase (NAD+) activity. aldehyde dehydrogenase (NADP+) activity. aldehyde dehydrogenase [NAD(P)+] activity. oxidoreductase activity.
Foxm1	Mus musculus	Pro-Longevity	forkhead box M1. forkhead box protein M1. DNA binding. DNA-binding transcription factor activity. RNA polymerase II transcription regulatory region sequence-specific DNA binding. phosphatidylinositol 3-kinase catalytic subunit binding. phosphatidylinositol 3-kinase regulatory subunit binding. protein binding. protein kinase binding. protein serine/threonine kinase binding. sequence-specific DNA binding. transcription cis-regulatory region binding.
RPL9A	Saccharomyces cerevisiae	Anti-Longevity	60S ribosomal protein uL6 RPL9A. rRNA binding. structural constituent of ribosome.
RAD34	Saccharomyces cerevisiae	Anti-Longevity	Rad34p. DNA binding. DNA damage sensor activity. damaged DNA binding.
xdh-1	Caenorhabditis elegans	Anti-Longevity	xanthine dehydrogenase. 2 iron, 2 sulfur cluster binding. FAD binding. flavin adenine dinucleotide binding. iron ion binding. iron-sulfur cluster binding. metal ion binding. oxidoreductase activity. xanthine dehydrogenase activity.
REI1	Saccharomyces cerevisiae	Anti-Longevity	Rei1p. nucleic acid binding. protein binding. sequence-specific DNA binding. zinc ion binding.
AAT2	Saccharomyces cerevisiae	Pro-Longevity	aspartate transaminase AAT2. L-aspartate:2-oxoglutarate transaminase activity. catalytic activity. pyridoxal phosphate binding. ribosomal large subunit binding. transaminase activity.
CTT1	Saccharomyces cerevisiae	Unannotated	catalase T. catalase activity. heme binding.
jkk-1	Caenorhabditis elegans	Unannotated	Dual specificity mitogen-activated protein kinase kinase jkk-1. ATP binding. JUN kinase kinase activity. MAP kinase kinase activity. exonuclease activity. protein kinase activity. protein serine kinase activity. protein tyrosine kinase activity.
Gpx4	Mus musculus	Anti-Longevity	glutathione peroxidase 4. phospholipid hydroperoxide glutathione peroxidase GPX4. glutathione peroxidase activity. identical protein binding. peroxidase activity. phospholipid-hydroperoxide glutathione peroxidase activity. selenium binding.
Cav1	Mus musculus	Pro-Longevity	caveolin 1, caveolae protein. caveolin-1. ATPase binding. SNARE binding. enzyme binding. identical protein binding. inward rectifier potassium channel inhibitor activity. kinase binding. molecular adaptor activity. nitric-oxide synthase binding. nitric-oxide synthase inhibitor activity. oxysterol binding. peptidase activator activity. protein binding. protein heterodimerization activity. protein kinase binding. protein tyrosine kinase inhibitor activity. protein-containing complex binding. protein-macromolecule adaptor activity. receptor serine/threonine kinase binding. signaling receptor binding. small GTPase binding. transmembrane transporter binding.
cert	Drosophila melanogaster	Pro-Longevity	ceramide transfer protein. ceramide binding. ceramide transfer activity. lipid binding. phosphatidylinositol-4-phosphate binding.
tbce-1	Caenorhabditis elegans	Anti-Longevity	Tubulin-specific chaperone E. alpha-tubulin binding.
K07H8.8	Caenorhabditis elegans	Anti-Longevity	sulfotransferase family protein. chondroitin 4-sulfotransferase activity. sulfotransferase activity.
hsp-4	Caenorhabditis elegans	Pro-Longevity	Endoplasmic reticulum chaperone BiP homolog;Heat shock 70 kDa protein D. ATP binding. ATP hydrolysis activity. RNA polymerase II-specific DNA-binding transcription factor binding. heat shock protein binding. protein folding chaperone.
LAG1	Saccharomyces cerevisiae	Anti-Longevity	sphingosine N-acyltransferase LAG1. protein binding. sphingosine N-acyltransferase activity.
M57.2	Caenorhabditis elegans	Pro-Longevity	Geranylgeranyl transferase type-2 subunit alpha;Protein geranylgeranyltransferase type II. Rab geranylgeranyltransferase activity. protein prenyltransferase activity.
wdr-23	Caenorhabditis elegans	Anti-Longevity	DDB1- and CUL4-associated factor 11 homolog. RNA polymerase II-specific DNA-binding transcription factor binding. protein binding.
RTT10	Saccharomyces cerevisiae	Necessary for fitness	tRNA (34-2'-O)-methyltransferase regulator RTT10. enzyme regulator activity. tRNA binding.
dhs-21	Caenorhabditis elegans	Pro-Longevity	L-xylulose reductase. L-xylulose reductase (NADPH) activity. carbonyl reductase (NADPH) activity. catalytic activity. oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor.
SSP120	Saccharomyces cerevisiae	Necessary for fitness	nucleobindin SSP120. calcium ion binding.
SPC72	Saccharomyces cerevisiae	Necessary for fitness	gamma-tubulin complex subunit SPC72. microtubule lateral binding. microtubule plus-end binding. protein-containing complex binding.
